CompoundID,InChIKey,SMILES,logS,logP,MW
C1955,NAPSCFZYZVSQHF-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCN(C)C,-7.455306311,6.8095,297.562
C1983,SZEGKVHRCLBFKJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCNC,-7.243105463,6.8582,283.536
C2201,NHLUVTZJQOJKCC-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCN(C)C,-6.482173198,6.0293,269.509
C168,CRQQGFGUEAVUIL-UHFFFAOYSA-N,N#Cc1c(Cl)c(C#N)c(c(c1Cl)Cl)Cl,-5.6399999,4.04356,265.911
C2862,LYXITZQJPFABBF-ZZAMHKPASA-N,CCC(C(/C=C/C=C(/CCC=C(C)C)\C)O)(O)C,-5.274981094,3.7572,252.392
C2929,PLZVEHJLHYMBBY-UHFFFAOYSA-N,CCCCCCCCCCCCCCN,-5.189648465,5.3465,213.403
C231,VMKOFRJSULQZRM-UHFFFAOYSA-N,CCCCCCCCBr,-5.0599999,3.7418,193.125
C266,LMHCYRULPLGEEZ-UHFFFAOYSA-N,CCCCCCCI,-4.8099999,3.3918,226.098
C3506,TXRVDQMSXQKAPG-UHFFFAOYSA-N,N#Cc1c(Cl)c(Cl)c(c(c1Cl)Cl)C#N,-4.534859899,4.04356,265.911
C348,LSXKDWGTSHCFPP-UHFFFAOYSA-N,CCCCCCCBr,-4.4299998,3.3517,179.098
C375,MBRLOUHOWLUMFF-UHFFFAOYSA-N,COc1ccc2c(c1CC=C(C)C)oc(=O)cc2,-4.3099999,3.3103,244.286
C3918,ABVVEAHYODGCLZ-UHFFFAOYSA-N,CCCCCCCCCCCCCN,-4.161699215,4.9564,199.376
C454,DZMDPHNGKBEVRE-UHFFFAOYSA-N,CCCCCCCCl,-3.99,3.1956,134.647
C482,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,-3.8399999,2.5866,86.1754
C487,MNDIARAMWBIKFW-UHFFFAOYSA-N,CCCCCCBr,-3.8099999,2.9616,165.071
C5015,JRBPAEWTRLWTQC-UHFFFAOYSA-N,CCCCCCCCCCCCN,-3.375909703,4.5663,185.349
C685,MLRVZFYXUZQSRU-UHFFFAOYSA-N,CCCCCCCl,-3.1199999,2.8055,120.62
C5385,QFKMMXYLAPZKIB-UHFFFAOYSA-N,CCCCCCCCCCCN,-3.108672516,4.1762,171.323
C792,IOQPZZOEVPZRBK-UHFFFAOYSA-N,CCCCCCCCN,-2.75,3.0059,129.243
C6432,MHZGKXUYDGKKIU-UHFFFAOYSA-N,CCCCCCCCCCN,-2.456368766,3.7861,157.296
C6514,TWFQJFPTTMIETC-UHFFFAOYSA-N,CCCCCCCCCCCCN.Cl,-2.398700351,5.3683,221.81
C1127,WJYIASZWHGOTOU-UHFFFAOYSA-N,CCCCCCCN,-1.85,2.6158,115.217
C7503,CVWHRDJDXCEZGH-UHFFFAOYSA-N,CC(=CCC1(C)C(=O)NC(=O)NC1=O)C,-1.733645357,1.3726,210.23
C1353,BMVXCPBXGZKUPN-UHFFFAOYSA-N,CCCCCCN,-1.1,2.2257,101.19
C8499,OOXOYCKYWLCWLT-UHFFFAOYSA-M,CCCC[N+](CCC)(CCC)CCC.[OH-],-0.9010909,3.6565,217.391
